Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","ATSI (any)","Degree-level or higher","Employed, any",40
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",203
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",27
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1849
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",53
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3846
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",342
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Not stated","Degree-level or higher","Employed, any",11
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",22
"Persons Aged 15 Years and Over Place of Work","Central Coast","25-29 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","ATSI (any)","Degree-level or higher","Employed, any",16
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",227
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",29
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1377
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",34
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5566
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",302
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Not stated","Degree-level or higher","Employed, any",3
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",43
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",8
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","ATSI (any)","Degree-level or higher","Employed, any",41
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",165
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",23
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",2184
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",58
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3871
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",321
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Not stated","Degree-level or higher","Employed, any",8
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",32
"Persons Aged 15 Years and Over Place of Work","Central Coast","30-34 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","ATSI (any)","Degree-level or higher","Employed, any",17
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",191
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",31
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1441
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",26
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5701
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",259
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Not stated","Degree-level or higher","Employed, any",5
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",29
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",6
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","ATSI (any)","Degree-level or higher","Employed, any",43
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",144
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",21
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",2156
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",73
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",4123
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",327
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Not stated","Degree-level or higher","Employed, any",6
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",20
"Persons Aged 15 Years and Over Place of Work","Central Coast","35-39 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",3
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","ATSI (any)","Degree-level or higher","Employed, any",18
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",162
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",26
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1604
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",44
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",6343
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",300
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",39
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",5
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","ATSI (any)","Degree-level or higher","Employed, any",48
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",154
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",20
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",2220
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",77
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",5253
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",342
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Not stated","Degree-level or higher","Employed, any",10
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",28
"Persons Aged 15 Years and Over Place of Work","Central Coast","40-44 years","Female","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",4
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","ATSI (any)","Degree-level or higher","Employed, any",16
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",175
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",10
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",1344
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",44
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",6632
"Persons Aged 15 Years and Over Place of Work","Central Coast","45-49 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",325
